field_id,field_name,field_type,field_label,required,validation_rules,max_length,options,table_name,table_row,field_context,page_number,coordinates,help_text
legacy_Text1_54,text1_54,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__25,25,checkbox,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_55,text1_55,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check131,check131,checkbox,Checkbox 131,False,,,,,,Legacy Form Field,0,,
legacy_Text1_56,text1_56,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_57,text1_57,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_58,text1_58,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check107_3,check107_3,checkbox,Checkbox 107,False,,,,,,Legacy Form Field,0,,
legacy_Check107_4,check107_4,checkbox,Checkbox 107,False,,,,,,Legacy Form Field,0,,
legacy_Check107_5,check107_5,checkbox,Checkbox 107,False,,,,,,Legacy Form Field,0,,
legacy_Text1_59,text1_59,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check107_6,check107_6,checkbox,Checkbox 107,False,,,,,,Legacy Form Field,0,,
legacy_Text1_60,text1_60,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check138,check138,checkbox,Checkbox 138,False,,,,,,Legacy Form Field,0,,
legacy_Check139,check139,checkbox,Checkbox 139,False,,,,,,Legacy Form Field,0,,
legacy__26,26,text,,False,,,,,,Legacy Form Field,0,,
legacy_Check107_7,check107_7,checkbox,Checkbox 107,False,,,,,,Legacy Form Field,0,,
legacy_Text1_61,text1_61,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check107_8,check107_8,checkbox,Checkbox 107,False,,,,,,Legacy Form Field,0,,
legacy_Text1_62,text1_62,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_63,text1_63,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_64,text1_64,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check107_9,check107_9,checkbox,Checkbox 107,False,,,,,,Legacy Form Field,0,,
legacy_Text1_65,text1_65,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_66,text1_66,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_67,text1_67,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_68,text1_68,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check107_10,check107_10,checkbox,Checkbox 107,False,,,,,,Legacy Form Field,0,,
legacy_Text1_69,text1_69,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_70,text1_70,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
table_1_row_35,5_this_court_finds_that_name_of_payor_this_court_f,currency,5. THIS COURT FINDS that (name of payor) THIS COURT FINDS that (name of payor) THIS COURT FINDS that,False,,,,Table 2,35,"Table 2, Row 36",0,,
table_1_row_37,the_sum_of_the_sum_of_the_sum_of_the_sum_of_the_su,currency,the sum of $ the sum of $ the sum of $ the sum of $ the sum of $ the sum of $ the sum of $ the sum o,False,,,,Table 2,37,"Table 2, Row 38",0,,
table_2_row_4,this_court_finds_that_name_of_recipient_this_court,currency,THIS COURT FINDS that (name of recipient) THIS COURT FINDS that (name of recipient) THIS COURT FINDS,False,,,,Table 3,4,"Table 3, Row 5",0,,
table_2_row_6,the_sum_of_the_sum_of_the_sum_of_the_sum_of_the_su,currency,the sum of $ the sum of $ the sum of $ the sum of $ the sum of $ the sum of $ per month for the spec,False,,,,Table 3,6,"Table 3, Row 7",0,,
table_2_row_11,field,currency,$ $,False,,,,Table 3,11,"Table 3, Row 12",0,,
table_2_row_12,field,currency,$ $,False,,,,Table 3,12,"Table 3, Row 13",0,,
table_2_row_13,field,currency,$ $,False,,,,Table 3,13,"Table 3, Row 14",0,,
table_2_row_14,field,currency,$ $,False,,,,Table 3,14,"Table 3, Row 15",0,,
table_2_row_18,spousal_support_in_the_amount_of_spousal_support_i,currency,spousal support in the amount of $ spousal support in the amount of $ spousal support in the amount ,False,,,,Table 3,18,"Table 3, Row 19",0,,
table_2_row_22,8_this_court_finds_that_the_amount_of_support_owed,date,8. THIS COURT FINDS that the amount of support owed is $ THIS COURT FINDS that the amount of support,False,,,,Table 3,22,"Table 3, Row 23",0,,
table_2_row_25,at_the_rate_of_at_the_rate_of_at_the_rate_of_at_th,date,at the rate of $ at the rate of $ at the rate of $ at the rate of $ at the rate of $ at the rate of ,False,,,,Table 3,25,"Table 3, Row 26",0,,
table_3_row_5,serve_and_file_the_following_before_the_next_court,date,serve and file the following before the next court date: serve and file the following before the nex,False,,,,Table 4,5,"Table 4, Row 6",0,,
table_3_row_14,to_name_to_name_to_name_fixed_at_fixed_at_fixed_at,currency,to (name) to (name) to (name) fixed at $ fixed at $ fixed at $,False,,,,Table 4,14,"Table 4, Row 15",0,,
